Device,Device Group,First Name,Device ID,User ID,Last Name,Driver,Driver Group,Depart Date,Start Date,Start During Work Hours,Driving Duration,Stop Date,Stop During Work Hours,Distance,Stop Duration,Origin,Destination,Stop Zone Types,Idling Duration,Maximum Speed,Start of Trip Engine Hours,End of Trip Engine Hours,Linked Assets
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.53013,46272.53013,TRUE,0.00431713,46272.53444,TRUE,4.909158707,0.032094907,"Highway 3B, Barbados","116542,newbury mini mart: Unnamed Road, Barbados",Customer Zone,0.032094907,77,235.8269444,235.8633564,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.56654,46272.56654,TRUE,0.004363426,46272.5709,TRUE,2.755127907,0.008043981,"116542,newbury mini mart: Unnamed Road, Barbados","111287,St. Judes Primary: Wilkinson Road, Prerogative, Barbados",Customer Zone,0.008043981,59,235.8633564,235.8757639,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.57895,46272.57895,TRUE,0.006412037,46272.58536,TRUE,5.294834137,0.014988426,"111287,St. Judes Primary: Wilkinson Road, Prerogative, Barbados","4FM8+MG Waverley Cot, Barbados",0,0.014988426,79,235.8757639,235.8971643,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.60035,46272.60035,TRUE,0.003171296,46272.60352,TRUE,0.636153042,0.002291667,"4FM8+MG Waverley Cot, Barbados","Highway 4, Waverley Cot, Saint George Barbados",0,0.002291667,52,235.8971643,235.9026273,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.60581,46272.60581,TRUE,0.00755787,46272.61337,TRUE,6.269744396,0.003229167,"Highway 4, Waverley Cot, Saint George Barbados","Unnamed Road, Workmans, Barbados",0,0.003229167,81,235.9026273,235.9134143,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.6166,46272.6166,TRUE,0.000358796,46272.61696,TRUE,0.027325541,0.00693287,"Unnamed Road, Workmans, Barbados","4FR2+7CC, Workmans, Barbados",0,0.00693287,5,235.9134143,235.920706,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.62389,46272.62389,TRUE,0.003344907,46272.62723,TRUE,1.196419001,0.010196759,"4FR2+7CC, Workmans, Barbados","Taitt Hill, Barbados",0,0.010196759,61,235.920706,235.9332176,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.63743,46272.63743,TRUE,0.005833333,46272.64326,TRUE,3.736563206,0.01943287,"Taitt Hill, Barbados","Monroe Rd, Bridgetown, Barbados",0,0.01943287,96,235.9332176,235.9595139,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.6627,46272.6627,TRUE,0.003611111,46272.66631,TRUE,3.403391361,0.004583333,"Monroe Rd, Bridgetown, Barbados","115762,Marway Bar and Restaurant, 111202,SOL CHARLES ROWE BRIDGE: 4CJJ+27 Froster Hall, Barbados",Customer Zone,0.004583333,70,235.9595139,235.9677083,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.67089,46272.67089,TRUE,0.007789352,46272.67868,TRUE,2.974578857,0.003506944,"115762,Marway Bar and Restaurant, 111202,SOL CHARLES ROWE BRIDGE: 4CJJ+27 Froster Hall, Barbados","#4 Dayrells Commercial Park, Lears Rd, Saint Michael Barbados",0,0.003506944,66,235.9677083,235.9790046,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.68219,46272.68219,TRUE,0.008668981,46272.69086,TRUE,4.312698841,0.098310914,"#4 Dayrells Commercial Park, Lears Rd, Saint Michael Barbados","49PV+JC5, Barbados, SMJ Barbados Head Office: 1st Avenue Lowland Drive, Barbados","Customer Zone, Office Zone",0.001597222,72,235.9790046,235.9875,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.78917,46272.78917,FALSE,0.000485382,46272.78965,FALSE,0.019924732,0.023009988,"49PV+JC5, Barbados, SMJ Barbados Head Office: 1st Avenue Lowland Drive, Barbados","49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados",Customer Zone,0.000902778,0,235.9875,235.9875,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46272.81266,46272.81266,FALSE,0.00144603,46272.81411,FALSE,0.04654872,0.471632674,"49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados","49PV+JC5, Barbados: Highway 2, Barbados",Customer Zone,0.000127315,11,235.9875,235.9916667,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.28574,46273.28574,FALSE,0.000797882,46273.28654,FALSE,0.024605386,0.004850266,"49PV+JC5, Barbados: Highway 2, Barbados","49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados",Customer Zone,0.002106481,3,235.9916667,235.9916667,0
C 3493,"Vehicle, Diesel, Daily Reports",0,b6,0,0,0,0,46273.29139,46273.29139,FALSE,0.000589549,46273.29198,FALSE,0.043433234,0.05212963,"49PV+JC5, Barbados: 1st Avenue Lowland Drive, Barbados","49PV+JC5, Barbados, SMJ Barbados Head Office: 1st Avenue Lowland Drive, Barbados","Customer Zone, Office Zone",0.005300926,5,235.9916667,236.0008083,0
